Date,Close,fear_metric,rating,,,
2019-02-25,166.23,70.0,greed,,,
2019-02-26,166.06,70.0,greed,,,
2019-02-27,165.77,72.0,greed,,,
2019-02-28,165.25,72.0,greed,,,
2019-03-01,166.1,71.0,greed,,,
2019-03-04,166.6,65.0,greed,,,
2019-03-05,166.6,63.0,greed,,,
2019-03-06,165.72,61.0,greed,,,
2019-03-07,165.68,58.0,greed,,,
2019-03-08,164.82,55.0,greed,,,
2019-03-11,166.86,59.0,greed,,,
2019-03-12,166.83,59.0,greed,,,
2019-03-13,167.31,60.0,greed,,,
2019-03-14,167.47,60.0,greed,,,
2019-03-15,168.15,65.0,greed,,,
